application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,co_loaners,credit_score,existing_debt,DTI,LTV,CCR,ITI,CWI,synthetic_approved,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months,session_user_name,session_user_email,session_flagged,created_at
APP_0001,24,74445,29,75105,12,120457,1,783,51276,0.6887769494257413,0.6235005022539112,1.6038479462086197,0.0840721337830392,0.18793139990205426,0,29,0.6887769494257413,98,0,0,75105,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0002,55,147658,23,94142,36,267069,0,562,14482,0.09807799103333313,0.3525006646222499,2.8368740838307787,0.01771021925993104,1.6567171639074743,1,23,0.09807799103333313,60,0,0,94142,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0003,49,91833,9,89468,12,229269,1,841,17981,0.19580107368810562,0.3902315620515622,2.562581034559814,0.08118722753307939,1.256625990268344,1,9,0.19580107368810562,45,0,2,89468,12,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0004,40,119460,29,18742,24,22887,0,718,19349,0.16197053406998022,0.8188928212522034,1.221161028705516,0.006537055638993152,0.18533945877069866,1,29,0.16197053406998022,174,0,3,18742,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0005,40,86751,14,99648,36,298353,0,657,10643,0.1226844647323936,0.3339936250012558,2.9940691233140355,0.03190741317014305,1.7494278202808715,0,14,0.1226844647323936,45,1,3,99648,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0006,58,60892,15,65719,24,181279,0,796,9326,0.1531564080667386,0.3625295814738588,2.7583955933595647,0.044969645709658515,1.48908604032025,0,15,0.1531564080667386,27,0,1,65719,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0007,24,128170,13,40800,60,63966,0,583,20820,0.16244050869938237,0.6378388518900566,1.5677941176470205,0.005305453694223776,0.4755613523399551,0,13,0.16244050869938237,125,0,2,40800,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0008,51,155838,4,63164,24,168887,0,696,52458,0.33661879644245735,0.3740015513331377,2.6737857007155554,0.016888264307958627,1.1103579726381043,0,4,0.33661879644245735,157,1,0,63164,24,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0009,29,60575,28,116137,36,140855,0,456,92,0.0015187783739166072,0.8245145717226877,1.212834841609468,0.05325675241746782,0.2125115926548313,0,28,0.0015187783739166072,33,0,3,116137,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0010,25,130131,0,103335,36,309819,2,829,16994,0.13059148089233055,0.3335334501757467,2.9982000290317607,0.022057900627728295,1.7372521281214162,0,0,0.13059148089233055,130,0,1,103335,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0011,44,60253,5,100542,36,234400,0,642,3637,0.060362139644498033,0.4289334470989743,2.331364007081594,0.046351772247949626,1.25100002696849,0,5,0.060362139644498033,102,1,3,100542,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0012,63,121780,6,57147,36,131452,0,730,33689,0.27663820003284384,0.43473663390438766,2.3002432323656135,0.013035117971937583,0.9405462849591215,0,6,0.27663820003284384,151,0,4,57147,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0013,53,131515,8,94744,36,111881,2,553,15036,0.11432916397369035,0.8468283265254972,1.1808768893016848,0.020011236571529128,0.16019738576567866,0,8,0.11432916397369035,33,0,3,94744,36,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
APP_0014,54,85663,3,48055,60,134268,0,776,47518,0.554708567292757,0.357903595793485,2.794048486109608,0.009349621968099514,0.7988744207260203,0,3,0.554708567292757,175,0,1,48055,60,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:11:49
