application_id,customer_name,email,phone,address,national_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_user_name,session_user_email,session_flagged,created_at
APP_0001,Duy Le,ivan.pham@gmail.com,+1-202-555-1000,"21 Königstr, Berlin, DE",18032585,60,90328,20,58341,36,137549,house,2,457,32200,216004,0.35647861128331904,0.4241470312397733,2.357672991549642,0.017941096152779862,0.873691608945172,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0002,Felix Nguyen,bao.tran@gmail.com,+1-202-555-1001,"8 Rue Lafayette, Paris, FR",79656043,30,115968,4,28807,12,183562,car,0,370,12383,130601,0.10677945640176507,0.15693335221886798,6.372131773527046,0.020700394359937774,2.2591333482618134,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0003,Felix Nguyen,julia.ngo@gmail.com,+1-202-555-1002,"21 Königstr, Berlin, DE",49499059,60,120490,21,80237,48,182782,land,1,377,30520,216940,0.25329902896505724,0.43897648564956926,2.2780263469471405,0.013873385066244732,0.9543035142736839,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0004,Emma Tran,chris.do@gmail.com,+1-202-555-1003,"21 Königstr, Berlin, DE",48971370,26,140014,22,60576,48,150377,car,1,444,31579,208686,0.22554173154113,0.40282756006569886,2.48245179609082,0.009013384375660287,1.1480970510742563,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0005,Hanh Vo,emma.tran@gmail.com,+1-202-555-1004,"55 Nguyen Hue, Ho Chi Minh",87273811,43,124905,11,79463,72,46884,house,1,834,38832,297914,0.3108922781313774,1.6948852486988804,0.5900104451128123,0.008835937534625839,0.0,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0006,Chris Do,ivan.pham@gmail.com,+1-202-555-1005,"23 Elm St, Boston, MA",17735107,41,89713,27,65316,48,192431,car,2,393,26102,151706,0.29095002953863663,0.3394255603307142,2.9461540816950986,0.015167812914200125,1.3799204941391858,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0007,Emma Tran,emma.tran@gmail.com,+1-202-555-1006,"44 Maple Dr, Los Angeles, CA",72763121,34,86519,19,46646,36,112079,land,1,796,40525,109046,0.46839422554582844,0.4161885812685658,2.4027569352141147,0.014976158094594424,0.7457136869154758,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0008,Giang Ho,duy.le@gmail.com,+1-202-555-1007,"55 Nguyen Hue, Ho Chi Minh",18475961,21,54463,10,86791,12,112825,house,1,672,11080,162759,0.2034408681122927,0.7692532683359116,1.299961977624393,0.13279810757267294,0.2389374524958227,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0009,Julia Ngo,giang.ho@gmail.com,+1-202-555-1008,"21 Königstr, Berlin, DE",57383107,54,99949,0,50244,24,142667,house,0,807,35585,57228,0.35603157610380937,0.3521767472505881,2.8394833213915525,0.02094568229709902,1.1845691752598653,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0010,Duy Le,felix.nguyen@gmail.com,+1-202-555-1009,"14 High St, London, UK",97806010,35,42391,20,95243,36,155666,deposit,1,754,2292,42410,0.05406808048878173,0.6118420207367016,1.6344088279453435,0.06241039109281067,0.6001075603732171,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0011,Chris Do,duy.le@gmail.com,+1-202-555-1010,"78 Oak St, Chicago, IL",76217712,50,141404,6,99496,36,190961,house,0,482,5139,160558,0.036342677717744645,0.521027853854973,1.9192831872637903,0.019545258816589257,0.8858739746577358,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
APP_0012,Chris Do,giang.ho@gmail.com,+1-202-555-1011,"10 Broadway, New York, NY",78502572,39,130630,22,60957,36,119816,car,0,755,43236,249367,0.3309806323202914,0.5087550911397434,1.9655822957166207,0.012962183265352159,0.6459932569230714,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:27
