application_id,customer_name,email,phone,address,national_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,current_loans,customer_type,DTI,LTV,CCR,ITI,CWI,currency_code,session_user_name,session_user_email,session_flagged,created_at
APP_0001,Alice Nguyen,giang.ho@gmail.com,+1-202-555-1000,"21 Königstr, Berlin, DE",99822506,26,139805.0,26,77336.0,24,68893.0,car,0,552,28133.0,28303.0,4,bank,0.20123028503987556,1.1225523638105304,0.8908270404468696,0.023048770310067926,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0002,Felix Nguyen,bao.tran@gmail.com,+1-202-555-1001,"8 Rue Lafayette, Paris, FR",79966434,57,117278.0,3,66833.0,24,31841.0,real_estate,0,511,37908.0,59923.0,3,bank,0.3232319787172332,2.0989604597844886,0.47642631634072274,0.023744507351909822,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0003,Bao Tran,alice.nguyen@gmail.com,+1-202-555-1002,"78 Oak St, Chicago, IL",38837550,44,122661.0,27,90816.0,12,178883.0,real_estate,0,755,37776.0,290938.0,1,bank,0.3079707486487122,0.507683793317417,1.9697300035235863,0.06169850237132644,0.6710815283513206,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0004,Emma Tran,felix.nguyen@gmail.com,+1-202-555-1003,"10 Broadway, New York, NY",97464377,35,93112.0,25,53932.0,36,36404.0,real_estate,0,504,26621.0,93746.0,2,bank,0.28590299853939033,1.481485551038307,0.6749981458132338,0.016089345208667852,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0005,Chris Do,giang.ho@gmail.com,+1-202-555-1004,"21 Königstr, Berlin, DE",54937628,43,38823.0,15,73466.0,72,122015.0,car,1,690,12871.0,100089.0,2,non-bank,0.3315302784431824,0.6021062984059288,1.6608363052296073,0.026282387015349486,0.44174906095148636,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0006,Julia Ngo,hanh.vo@gmail.com,+1-202-555-1005,"14 High St, London, UK",55066706,63,73865.0,22,32049.0,12,53365.0,real_estate,0,555,26309.0,239469.0,3,bank,0.3561768090435205,0.6005621662137993,1.6651065555867057,0.0361571786336885,0.4282110249439382,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0007,Bao Tran,emma.tran@gmail.com,+1-202-555-1006,"19 Pine Ave, San Jose, CA",49032895,58,149629.0,15,96505.0,24,32197.0,deposit,1,314,41339.0,64915.0,4,bank,0.27627665759979503,2.997328943690313,0.33363038184549676,0.026873411347393194,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0008,Giang Ho,emma.tran@gmail.com,+1-202-555-1007,"55 Nguyen Hue, Ho Chi Minh",22950775,57,30521.0,8,64219.0,12,157071.0,real_estate,0,591,48532.0,158926.0,1,bank,1.5901182792175357,0.40885332110955935,2.4458649309394036,0.17534102201393115,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0009,Duy Le,hanh.vo@gmail.com,+1-202-555-1008,"14 High St, London, UK",94093522,41,134900.0,23,79290.0,48,35593.0,land,0,327,46375.0,92953.0,2,non-bank,0.34377316530763274,2.2276852190036744,0.4488964560474152,0.012245181615756663,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0010,Duy Le,alice.nguyen@gmail.com,+1-202-555-1009,"55 Nguyen Hue, Ho Chi Minh",11254265,55,110561.0,7,48770.0,24,136683.0,land,0,812,9073.0,67401.0,0,bank,0.08206329537540288,0.3568110152689043,2.8026040598728152,0.018379748132240525,1.6546764304625972,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0011,Giang Ho,bao.tran@gmail.com,+1-202-555-1010,"22 Bay St, Toronto, CA",25685067,37,60488.0,9,87346.0,60,141074.0,car,0,630,29869.0,289668.0,3,bank,0.49380042322443307,0.6191502332109345,1.6151168914432072,0.024067032579063286,0.31137191011606324,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0012,Ivan Pham,duy.le@gmail.com,+1-202-555-1011,"8 Rue Lafayette, Paris, FR",30669042,51,122248.0,15,12046.0,48,19563.0,deposit,2,504,5229.0,67970.0,2,bank,0.04277370590929878,0.6157542299238044,1.624024572472055,0.0020528624871417366,0.5973327289290878,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0013,Emma Tran,hanh.vo@gmail.com,+1-202-555-1012,"44 Maple Dr, Los Angeles, CA",35136775,49,129612.0,25,15839.0,60,41205.0,real_estate,0,567,33447.0,37342.0,2,bank,0.2580548097398369,0.3843950976823108,2.601489993054953,0.002036719851008638,1.1882177975969692,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0014,Julia Ngo,julia.ngo@gmail.com,+1-202-555-1013,"78 Oak St, Chicago, IL",21863999,31,30402.0,11,53176.0,48,160517.0,real_estate,0,640,49616.0,205441.0,2,bank,1.6319978948752834,0.33127955294454586,3.0185986159168983,0.03643948862937363,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0015,Hanh Vo,felix.nguyen@gmail.com,+1-202-555-1014,"10 Broadway, New York, NY",11616527,32,38302.0,14,74579.0,36,105400.0,car,0,443,2628.0,261517.0,1,bank,0.0686126050858945,0.7075806451612836,1.4132664691132701,0.054086963835603616,0.3849111800727808,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0016,Julia Ngo,chris.do@gmail.com,+1-202-555-1015,"22 Bay St, Toronto, CA",70989279,23,108218.0,1,81875.0,72,31299.0,real_estate,1,458,32828.0,46973.0,2,non-bank,0.3033506440702997,2.615898271510188,0.3822778625954152,0.01050798183076728,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0017,Alice Nguyen,hanh.vo@gmail.com,+1-202-555-1016,"22 Bay St, Toronto, CA",97237891,27,149888.0,3,46808.0,36,198420.0,car,0,530,47275.0,215274.0,3,bank,0.31540216695132156,0.23590363874609296,4.239018971115958,0.008674625201391015,1.5692961394644145,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0018,Alice Nguyen,hanh.vo@gmail.com,+1-202-555-1017,"78 Oak St, Chicago, IL",20964925,40,27995.0,1,66718.0,72,58877.0,car,0,442,42359.0,166829.0,1,non-bank,1.5130916235041432,1.1331759430677322,0.882475493869707,0.0331001567735662,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0019,Bao Tran,bao.tran@gmail.com,+1-202-555-1018,"44 Maple Dr, Los Angeles, CA",36688168,42,108210.0,2,57544.0,72,8769.0,deposit,1,716,19624.0,250705.0,0,bank,0.18135107661029312,6.562207777396902,0.15238773807868497,0.007385844397108534,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0020,Julia Ngo,emma.tran@gmail.com,+1-202-555-1019,"55 Nguyen Hue, Ho Chi Minh",55569693,28,42065.0,26,96344.0,48,185439.0,car,1,357,5196.0,46816.0,1,bank,0.12352311898252412,0.5195455109227265,1.924759196213548,0.04771583660108887,0.8105300559894923,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0021,Felix Nguyen,bao.tran@gmail.com,+1-202-555-1020,"55 Nguyen Hue, Ho Chi Minh",93475211,39,106265.0,25,67139.0,60,11183.0,deposit,2,754,46195.0,293010.0,0,bank,0.43471509904483663,6.003666279173209,0.166564887770146,0.010530121237610438,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0022,Bao Tran,felix.nguyen@gmail.com,+1-202-555-1021,"14 High St, London, UK",72483618,47,102914.0,24,44600.0,24,114244.0,deposit,0,491,46066.0,189542.0,1,bank,0.44761645645878645,0.3903924932600365,2.5615246636770728,0.018057148038710814,0.8625605270489604,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0023,Duy Le,chris.do@gmail.com,+1-202-555-1022,"22 Bay St, Toronto, CA",78956930,31,36305.0,1,97132.0,60,198672.0,deposit,0,608,28948.0,254224.0,3,bank,0.7973557361244789,0.4889063380848812,2.04538154264298,0.044590735894219566,0.2118405731779465,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0024,Ivan Pham,julia.ngo@gmail.com,+1-202-555-1023,"55 Nguyen Hue, Ho Chi Minh",62300494,35,110091.0,2,15189.0,60,118939.0,real_estate,0,386,48944.0,114969.0,0,bank,0.44457766756591865,0.12770411723656558,7.830601092895659,0.0022994613546591324,1.4534778413313383,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0025,Emma Tran,julia.ngo@gmail.com,+1-202-555-1024,"22 Bay St, Toronto, CA",47533220,37,137129.0,8,98534.0,72,120250.0,deposit,1,511,230.0,283580.0,3,bank,0.0016772528057522357,0.8194095634095566,1.2203909310491685,0.009979856760851172,0.22002127974172245,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0026,Alice Nguyen,felix.nguyen@gmail.com,+1-202-555-1025,"22 Bay St, Toronto, CA",27979808,43,132930.0,16,19631.0,24,82529.0,land,0,715,30830.0,191645.0,1,non-bank,0.23192657789814014,0.2378679009802586,4.204014059395639,0.006153301235983192,1.756120228163299,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0027,Emma Tran,duy.le@gmail.com,+1-202-555-1026,"10 Broadway, New York, NY",87788293,37,28624.0,10,32381.0,60,32366.0,deposit,1,448,1927.0,46811.0,4,bank,0.06732112912241241,1.0004634492986157,0.9995367653870788,0.018854224892548902,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0028,Bao Tran,emma.tran@gmail.com,+1-202-555-1027,"23 Elm St, Boston, MA",82371206,53,55739.0,14,83039.0,36,117956.0,car,0,372,46784.0,277641.0,3,non-bank,0.8393404976766566,0.703982841059372,1.420489167740442,0.041382853815547,0.0675555804215396,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0029,Julia Ngo,alice.nguyen@gmail.com,+1-202-555-1028,"10 Broadway, New York, NY",12259119,35,55103.0,5,74706.0,24,180282.0,deposit,0,587,34020.0,240778.0,1,non-bank,0.6173892528537355,0.41438413152727166,2.413219821701036,0.05648966480718374,0.5407130918629514,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0030,Julia Ngo,bao.tran@gmail.com,+1-202-555-1029,"21 Königstr, Berlin, DE",74386640,40,81661.0,21,97183.0,24,25491.0,land,1,389,45671.0,97058.0,2,bank,0.5592755415681836,3.8124436075476122,0.2622989617525672,0.049586603966371906,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0031,Giang Ho,bao.tran@gmail.com,+1-202-555-1030,"55 Nguyen Hue, Ho Chi Minh",17594929,37,42877.0,9,76248.0,48,177033.0,real_estate,0,473,28133.0,168245.0,0,bank,0.6561326585348636,0.43069936113605695,2.321805162102582,0.037047834502574095,0.45452562702711496,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0032,Julia Ngo,giang.ho@gmail.com,+1-202-555-1031,"14 High St, London, UK",76508559,29,131793.0,1,65515.0,24,87688.0,car,1,547,4163.0,122537.0,0,bank,0.031587413595562504,0.7471375786880674,1.3384415782644992,0.020712721210936126,0.32775108415394927,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0033,Chris Do,ivan.pham@gmail.com,+1-202-555-1032,"78 Oak St, Chicago, IL",84335845,51,122095.0,22,37916.0,12,110950.0,real_estate,0,610,1326.0,167613.0,4,bank,0.010860395593595062,0.34173952230734256,2.926205295917214,0.025878755611641224,1.9052859444091101,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0034,Alice Nguyen,giang.ho@gmail.com,+1-202-555-1033,"78 Oak St, Chicago, IL",21795197,31,126043.0,27,5447.0,36,39757.0,deposit,0,651,16778.0,289958.0,4,bank,0.13311330260307885,0.137007319465751,7.298880117494528,0.00120042807257326,2.244350624118154,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0035,Felix Nguyen,emma.tran@gmail.com,+1-202-555-1034,"10 Broadway, New York, NY",49045227,34,49775.0,0,16767.0,48,127384.0,car,0,672,37172.0,270687.0,0,bank,0.74680060271219,0.13162563587263604,7.5973042285437105,0.007017830235915935,0.6596155968517017,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0036,Julia Ngo,hanh.vo@gmail.com,+1-202-555-1035,"78 Oak St, Chicago, IL",21137842,55,26821.0,13,33288.0,24,43011.0,real_estate,0,764,7551.0,72506.0,1,non-bank,0.2815331270273188,0.7739415498360706,1.292087238644518,0.051713209796135744,0.20985500498419019,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0037,Giang Ho,chris.do@gmail.com,+1-202-555-1036,"22 Bay St, Toronto, CA",61055398,62,138829.0,24,8889.0,72,60451.0,land,0,336,42607.0,291823.0,0,non-bank,0.30690273645995936,0.14704471390051205,6.800652491843087,0.0008892834590151752,1.7735429241527028,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0038,Hanh Vo,duy.le@gmail.com,+1-202-555-1037,"22 Bay St, Toronto, CA",93480628,50,61113.0,21,53277.0,60,146549.0,car,0,499,11974.0,137004.0,1,bank,0.19593212573429228,0.3635439341107728,2.7506991760046033,0.014529641810828896,1.4076809649287678,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0039,Giang Ho,julia.ngo@gmail.com,+1-202-555-1038,"23 Elm St, Boston, MA",17278259,61,107033.0,25,78847.0,48,17699.0,real_estate,0,300,24820.0,214403.0,1,non-bank,0.23189109900684618,4.454884456748717,0.22447271297576032,0.015347097000916505,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0040,Alice Nguyen,alice.nguyen@gmail.com,+1-202-555-1039,"23 Elm St, Boston, MA",45782037,58,138679.0,12,96509.0,72,93858.0,deposit,0,305,10154.0,231624.0,1,bank,0.07321944923167839,1.0282447953291032,0.9725310592794353,0.009665506513308803,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0041,Duy Le,bao.tran@gmail.com,+1-202-555-1040,"19 Pine Ave, San Jose, CA",97580845,42,29520.0,11,51521.0,36,122156.0,deposit,0,416,23287.0,150052.0,2,bank,0.7888550135501088,0.42176397393496495,2.3709943518176595,0.04848031466290944,0.28947858383742286,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0042,Ivan Pham,ivan.pham@gmail.com,+1-202-555-1041,"44 Maple Dr, Los Angeles, CA",37085381,54,25684.0,21,88125.0,12,33349.0,land,0,628,22608.0,142430.0,0,bank,0.8802367232517957,2.642508021229943,0.37842836879432196,0.2859270362633443,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0043,Felix Nguyen,alice.nguyen@gmail.com,+1-202-555-1042,"55 Nguyen Hue, Ho Chi Minh",21899503,35,25678.0,4,98626.0,12,64592.0,land,0,791,273.0,142357.0,4,bank,0.010631669133109641,1.5269073569482052,0.6549185813071537,0.32007295477249437,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0044,Giang Ho,chris.do@gmail.com,+1-202-555-1043,"44 Maple Dr, Los Angeles, CA",53972563,41,44540.0,7,86683.0,72,73952.0,car,0,725,28390.0,260139.0,3,bank,0.6374045801526574,1.1721522068368513,0.8531315252125462,0.027030322306663836,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0045,Julia Ngo,duy.le@gmail.com,+1-202-555-1044,"55 Nguyen Hue, Ho Chi Minh",55753531,44,31457.0,18,49172.0,72,135415.0,land,0,655,39332.0,122039.0,3,bank,1.2503417363384541,0.3631207768710973,2.753904661189239,0.02171041244985019,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0046,Alice Nguyen,emma.tran@gmail.com,+1-202-555-1045,"44 Maple Dr, Los Angeles, CA",69657778,63,127497.0,20,35899.0,60,195528.0,land,1,727,46813.0,91177.0,0,bank,0.36716942359427773,0.18360030276993483,5.446614111813548,0.004692790157075775,1.5499280729266778,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0047,Hanh Vo,felix.nguyen@gmail.com,+1-202-555-1046,"21 Königstr, Berlin, DE",38236379,58,100740.0,3,97902.0,12,168559.0,real_estate,1,394,16535.0,114863.0,3,bank,0.1641353980543958,0.5808173992489243,1.7217115074257754,0.08098570577049874,0.6032531018740213,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0048,Duy Le,bao.tran@gmail.com,+1-202-555-1047,"8 Rue Lafayette, Paris, FR",96006092,42,147505.0,15,27981.0,24,44435.0,real_estate,0,761,44029.0,66515.0,4,non-bank,0.29849157655672487,0.6297063125914115,1.5880418855651481,0.007903969356641566,0.4125163360614587,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0049,Felix Nguyen,giang.ho@gmail.com,+1-202-555-1048,"10 Broadway, New York, NY",56892046,49,125185.0,10,44099.0,12,11486.0,car,0,789,43938.0,123536.0,0,bank,0.3509845428765399,3.839369667420874,0.26045942084853946,0.029355886618687498,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0050,Felix Nguyen,bao.tran@gmail.com,+1-202-555-1049,"78 Oak St, Chicago, IL",35780160,29,145398.0,15,12032.0,12,17967.0,car,0,352,49419.0,43082.0,3,non-bank,0.3398877563652847,0.6696721767684828,1.4932679521275354,0.006896014158262867,0.3256122145921004,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0051,Chris Do,felix.nguyen@gmail.com,+1-202-555-1050,"78 Oak St, Chicago, IL",96425599,56,54819.0,28,80399.0,24,122377.0,real_estate,0,558,18653.0,36028.0,1,non-bank,0.34026523650558493,0.6569780269168172,1.5221209219019947,0.06110943893893888,0.3444613229265121,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
APP_0052,Bao Tran,duy.le@gmail.com,+1-202-555-1051,"21 Königstr, Berlin, DE",93232757,45,60974.0,2,66734.0,48,38002.0,real_estate,0,756,42544.0,219916.0,3,non-bank,0.6977400203365255,1.7560654702383625,0.5694548506008845,0.022801385289429585,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 11:59:23
